temperatura,device_id,channel,ec40_hex,raw_hex
-20.0,247,1,EC4017F2002814A1,555555559995A5A6AA6A56559AAAAA9AA96AA6996A
-19.5,247,1,EC4017F25918E461,555555559995A5A6AA6A56559A66696AA995A6966A
-19.0,247,1,EC4017F2091894A1,555555559995A5A6AA6A56559AAA696AA969A6996A
-18.5,247,1,EC4017F25818D461,555555559995A5A6AA6A56559A66A96AA965A6966A
-18.0,247,1,EC4017F2081884A1,555555559995A5A6AA6A56559AAAA96AA9A9A6996A
-17.5,247,1,EC4017F25718C461,555555559995A5A6AA6A56559A66566AA9A5A6966A
-17.0,247,1,EC4017F2071874A1,555555559995A5A6AA6A56559AAA566AA956A6996A
-16.5,247,1,EC4017F25618B461,555555559995A5A6AA6A56559A66966AA959A6966A
-16.0,247,1,EC4017F2061864A1,555555559995A5A6AA6A56559AAA966AA996A6996A
-15.5,247,1,EC4017F25518A492,555555559995A5A6AA6A56559A66666AA999A6699A
-15.0,247,1,EC4017F205185452,555555559995A5A6AA6A56559AAA666AA966A6669A
-14.5,247,1,EC4017F2541894C3,555555559995A5A6AA6A56559A66A66AA969A6A55A
-14.0,247,1,EC4017F204184403,555555559995A5A6AA6A56559AAAA66AA9A6A6AA5A
-13.5,247,1,EC4017F253188475,555555559995A5A6AA6A56559A665A6AA9A9A65666
-13.0,247,1,EC4017F2031834B5,555555559995A5A6AA6A56559AAA5A6AA95AA65966
-12.5,247,1,EC4017F252187424,555555559995A5A6AA6A56559A669A6AA956A69AA6
-12.0,247,1,EC4017F2021824E4,555555559995A5A6AA6A56559AAA9A6AA99AA695A6
-11.5,247,1,EC4017F2511864D7,555555559995A5A6AA6A56559A666A6AA996A66556
-11.0,247,1,EC4017F201181417,555555559995A5A6AA6A56559AAA6A6AA96AA66A56
-10.5,247,1,EC4017F250185486,555555559995A5A6AA6A56559A66AA6AA966A6A996
-10.0,247,1,EC4017F200180446,555555559995A5A6AA6A56559AAAAA6AA9AAA6A696
-9.5,247,1,EC4017F25908D45A,555555559995A5A6AA6A56559A6669AAA965A66699
-9.0,247,1,EC4017F20908849A,555555559995A5A6AA6A56559AAA69AAA9A9A66999
-8.5,247,1,EC4017F25808C40B,555555559995A5A6AA6A56559A66A9AAA9A5A6AA59
