house,temp_idx,temp_c,m,p
173,580,18.0,4,6
173,597,19.700000000000003,4,10
173,594,19.4,4,15
173,592,19.200000000000003,4,6
173,591,19.1,4,8
173,593,19.299999999999997,3,8
173,622,22.200000000000003,3,15
173,641,24.099999999999994,4,4
173,653,25.299999999999997,4,12
173,662,26.200000000000003,4,4
173,668,26.799999999999997,4,14
173,673,27.299999999999997,4,5
173,677,27.700000000000003,4,3
173,681,28.099999999999994,4,15
173,684,28.400000000000006,4,1
173,686,28.599999999999994,4,5
173,689,28.900000000000006,4,11
173,691,29.099999999999994,4,5
173,693,29.299999999999997,4,0
173,695,29.5,4,9
173,696,29.599999999999994,4,13
173,699,29.900000000000006,3,1
173,700,30.0,3,15
173,702,30.200000000000003,3,8
173,703,30.299999999999997,3,10
173,704,30.400000000000006,3,13
173,705,30.5,4,4
173,706,30.599999999999994,4,3
173,707,30.700000000000003,4,7
173,708,30.799999999999997,4,0
173,709,30.900000000000006,3,4
173,710,31.0,3,3
173,711,31.099999999999994,3,10
173,712,31.200000000000003,3,13
173,713,31.299999999999997,3,15
173,714,31.400000000000006,4,8
173,715,31.5,4,1
173,716,31.599999999999994,4,6
173,717,31.700000000000003,4,2
173,718,31.799999999999997,4,5
173,719,31.900000000000006,3,11
173,720,32.0,3,12
173,721,32.099999999999994,3,5
173,722,32.2,3,2
173,723,32.3,4,0
173,724,32.400000000000006,4,7
173,725,32.5,4,14
173,726,32.599999999999994,4,9
173,728,32.8,4,9
173,733,33.3,4,2
173,735,33.5,4,12
173,737,33.7,4,8
173,738,33.8,3,5
173,740,34.0,3,2
173,741,34.099999999999994,4,11
173,742,34.2,4,12
173,743,34.3,4,14
173,744,34.400000000000006,4,9
173,745,34.5,4,0
173,746,34.599999999999994,4,7
173,747,34.7,4,3
173,748,34.8,4,4
173,749,34.900000000000006,3,0
173,750,35.0,4,7
173,751,35.099999999999994,4,14
173,752,35.2,4,9
173,753,35.3,4,11
173,754,35.400000000000006,4,12
173,755,35.5,4,5
173,756,35.599999999999994,4,2
173,757,35.7,4,6
173,758,35.8,4,1
173,759,35.900000000000006,4,15
173,760,36.0,4,8
173,761,36.099999999999994,4,1
173,763,36.3,3,2
18,761,36.099999999999994,3,14
18,749,34.900000000000006,3,8
18,735,33.5,3,10
18,724,32.400000000000006,3,7
18,713,31.299999999999997,3,0
18,704,30.400000000000006,3,10
18,695,29.5,3,5
18,688,28.799999999999997,3,4
18,681,28.099999999999994,3,12
18,675,27.5,3,4
18,669,26.900000000000006,3,14
18,664,26.400000000000006,3,5
18,660,26.0,3,6
18,655,25.5,3,13
18,651,25.099999999999994,3,9
18,648,24.799999999999997,3,3
18,645,24.5,3,1
18,642,24.200000000000003,3,5
18,639,23.9,3,1
18,636,23.6,3,13
18,633,23.299999999999997,3,3
18,631,23.1,3,0
18,629,22.9,3,4
18,626,22.6,3,10
18,624,22.4,3,15
18,622,22.200000000000003,2,1
18,620,22.0,3,8
18,615,21.5,3,5
18,614,21.4,2,0
18,612,21.200000000000003,2,9
18,611,21.1,2,14
18,610,21.0,3,10
18,607,20.700000000000003,3,14
18,606,20.6,3,7
18,605,20.5,3,0
18,604,20.4,2,2
18,603,20.299999999999997,2,5
18,602,20.200000000000003,2,12
18,601,20.1,2,11
18,600,20.0,3,7
18,596,19.6,3,13
18,595,19.5,3,10
18,594,19.4,3,8
71,498,9.799999999999997,3,5
71,514,11.399999999999999,3,15
71,519,11.899999999999999,3,15
71,522,12.200000000000003,3,13
71,525,12.5,3,7
71,528,12.799999999999997,3,4
71,530,13.0,3,13
71,533,13.299999999999997,3,1
71,536,13.600000000000001,3,2
71,538,13.799999999999997,3,5
71,539,13.899999999999999,3,8
71,541,14.100000000000001,3,1
71,542,14.200000000000003,3,6
71,543,14.299999999999997,3,3
71,545,14.5,3,13
71,547,14.700000000000003,3,9
71,548,14.799999999999997,4,14
71,549,14.899999999999999,3,10
71,550,15.0,3,13
71,551,15.100000000000001,3,4
71,552,15.200000000000003,3,3
71,553,15.299999999999997,3,1
71,554,15.399999999999999,3,6
71,555,15.5,3,15
71,556,15.600000000000001,3,8
71,557,15.700000000000003,4,12
71,558,15.799999999999997,4,11
71,559,15.899999999999999,3,5
71,560,16.0,3,8
71,561,16.1,3,1
94,590,19.0,5,2
205,589,18.9,4,1
205,591,19.1,4,13
205,596,19.6,5,7
205,599,19.9,4,2
205,603,20.299999999999997,4,0
205,612,21.200000000000003,4,15
205,619,21.9,4,13
205,630,23.0,4,8
205,635,23.5,4,5
205,639,23.9,4,6
205,643,24.299999999999997,4,13
205,647,24.700000000000003,4,13
205,651,25.099999999999994,4,1
205,654,25.400000000000006,4,12
205,658,25.799999999999997,4,2
205,661,26.099999999999994,4,14
205,664,26.400000000000006,4,0
205,666,26.599999999999994,4,7
205,667,26.700000000000003,5,4
205,670,27.0,4,14
205,672,27.200000000000003,4,9
205,673,27.299999999999997,4,11
205,674,27.400000000000006,4,12
205,675,27.5,4,5
205,676,27.599999999999994,5,2
205,677,27.700000000000003,5,1
205,679,27.900000000000006,4,4
205,681,28.099999999999994,4,13
205,682,28.200000000000003,4,8
205,684,28.400000000000006,5,1
205,687,28.700000000000003,5,6
205,653,25.299999999999997,4,2
205,586,18.6,4,12
205,578,17.799999999999997,4,3
205,573,17.299999999999997,4,13
205,567,16.700000000000003,4,1
205,562,16.200000000000003,4,6
205,558,15.799999999999997,4,11
205,554,15.399999999999999,3,0
205,550,15.0,4,7
205,547,14.700000000000003,4,14
205,544,14.399999999999999,3,2
205,541,14.100000000000001,4,8
205,538,13.799999999999997,4,12
205,537,13.700000000000003,4,5
205,534,13.399999999999999,3,0
205,532,13.200000000000003,3,14
205,530,13.0,4,13
205,528,12.799999999999997,4,14
205,526,12.600000000000001,4,0
205,524,12.399999999999999,3,2
205,523,12.299999999999997,3,12
205,521,12.100000000000001,3,11
205,520,12.0,4,5
205,519,11.899999999999999,4,2
205,518,11.799999999999997,4,6
205,517,11.700000000000003,4,1
95,516,11.600000000000001,4,15
95,522,12.200000000000003,4,7
95,528,12.799999999999997,4,10
95,532,13.200000000000003,4,1
95,536,13.600000000000001,4,5
95,539,13.899999999999999,4,1
95,542,14.200000000000003,4,4
95,544,14.399999999999999,4,10
95,546,14.600000000000001,4,13
95,547,14.700000000000003,4,14
95,549,14.899999999999999,4,10
95,550,15.0,4,13
95,551,15.100000000000001,4,3
95,553,15.299999999999997,4,1
95,554,15.399999999999999,4,6
95,555,15.5,4,15
95,556,15.600000000000001,4,8
95,557,15.700000000000003,4,12
95,558,15.799999999999997,4,11
95,559,15.899999999999999,4,5
95,560,16.0,4,2
95,561,16.1,4,11
95,562,16.200000000000003,4,12
95,563,16.299999999999997,4,14
95,564,16.4,4,9
95,565,16.5,4,0
95,567,16.700000000000003,4,9
95,568,16.799999999999997,3,10
95,570,17.0,4,6
