ts,short_high,short_low,long_gap,reset_limit,hi,lo,gap
2026-01-24T12:33:47,540,432,9692,9696,490,483,8498
2026-01-24T12:36:15,544,424,9676,9680,488,488,8507
2026-01-24T12:37:22,524,444,9488,9492,481,495,8363
2026-01-24T12:38:35,516,456,9348,9352,479,495,8303
2026-01-24T12:41:08,512,456,9300,9304,479,495,8272
2026-01-24T12:42:08,512,456,9260,9264,479,495,8265
2026-01-24T12:44:47,516,448,9228,9232,477,500,8277
2026-01-24T12:47:08,512,460,9260,9264,477,498,8270
2026-01-24T12:48:07,492,1000,4048,4068,489,458,8870
2026-01-24T12:49:11,476,1012,4068,4092,511,418,9470
2026-01-24T12:50:42,544,380,9892,9896,492,458,9084
2026-01-24T12:58:28,656,2064,9056,9176,452,418,9199
2026-01-24T12:59:26,488,376,788,812,466,458,9799
2026-01-24T13:21:36,500,416,868,888,473,482,10399
2026-01-24T13:27:59,504,444,924,944,478,489,10999
2026-01-24T15:30:11,548,1064,1976,1992,456,449,11599
2026-01-24T15:33:45,476,1016,4060,4076,534,416,9848
2026-01-24T15:36:40,488,488,980,1008,548,397,10448
2026-01-24T15:46:37,540,420,9716,9720,495,478,8967
2026-01-24T15:48:12,488,484,976,1000,509,461,9567
2026-01-24T15:53:37,488,488,976,996,526,437,9848
2026-01-24T15:54:46,436,56,1008,2108,566,477,10448
2026-01-24T16:01:32,260,472,744,1064,552,446,9848
2026-01-24T16:15:35,484,492,980,1008,569,424,10448
2026-01-24T16:37:14,532,428,9708,9712,500,473,8972
2026-01-24T16:38:17,1136,1788,7284,7288,460,433,9572
2026-01-24T16:58:38,492,392,824,2036,524,494,9848
2026-01-24T16:59:41,480,492,984,1020,543,472,10448
2026-01-24T17:00:41,272,212,1212,1008,583,512,11048
2026-01-24T17:01:52,612,480,992,4504,543,498,11648
2026-01-24T17:02:51,572,464,964,7232,507,493,12248
2026-01-24T17:03:51,536,460,952,7216,493,491,12848
