temperatura,device_id,channel,ec40_hex,raw_hex
7.0,34,2,EC4022210700C2AF,555555559995A5A6AA9A9A9A6AAA56AAAAA59A9955
7.1,34,2,EC4022211700D2DA,555555559995A5A6AA9A9A9A6A6A56AAAA659A6599
7.2,34,2,EC4022212700E245,555555559995A5A6AA9A9A9A6A9A56AAAA959AA666
7.3,34,2,EC4022213700F230,555555559995A5A6AA9A9A9A6A5A56AAAA559A5AAA
7.4,34,2,EC4022214700031A,555555559995A5A6AA9A9A9A6AA656AAAAAA5A6A99
7.5,34,2,EC4022215700136F,555555559995A5A6AA9A9A9A6A6656AAAA6A5A9655
7.6,34,2,EC402221670023F0,555555559995A5A6AA9A9A9A6A9656AAAA9A5A55AA
7.7,34,2,EC40222177003385,555555559995A5A6AA9A9A9A6A5656AAAA5A5AA966
7.8,34,2,EC402221870043C4,555555559995A5A6AA9A9A9A6AA956AAAAA65AA5A6
7.9,34,2,EC402221970053B1,555555559995A5A6AA9A9A9A6A6956AAAA665A596A
8.0,34,2,EC4022210800D2B1,555555559995A5A6AA9A9A9A6AAAA9AAAA659A596A
8.1,34,2,EC4022211800E2E6,555555559995A5A6AA9A9A9A6A6AA9AAAA959A9596
8.2,34,2,EC4022212800F279,555555559995A5A6AA9A9A9A6A9AA9AAAA559A5669
8.3,34,2,EC4022213800030C,555555559995A5A6AA9A9A9A6A5AA9AAAAAA5AAAA5
8.4,34,2,EC40222148001326,555555559995A5A6AA9A9A9A6AA6A9AAAA6A5A9A96
8.5,34,2,EC40222158002353,555555559995A5A6AA9A9A9A6A66A9AAAA9A5A665A
8.6,34,2,EC402221680033CC,555555559995A5A6AA9A9A9A6A96A9AAAA5A5AA5A5
8.7,34,2,EC402221780043B9,555555559995A5A6AA9A9A9A6A56A9AAAAA65A5969
8.8,34,2,EC402221880053F8,555555559995A5A6AA9A9A9A6AA9A9AAAA665A55A9
8.9,34,2,EC4022219800638D,555555559995A5A6AA9A9A9A6A69A9AAAA965AA965
9.0,34,2,EC4022210900E28D,555555559995A5A6AA9A9A9A6AAA69AAAA959AA965
9.1,34,2,EC4022211900F2B7,555555559995A5A6AA9A9A9A6A6A69AAAA559A5956
9.2,34,2,EC40222129000328,555555559995A5A6AA9A9A9A6A9A69AAAAAA5A9AA9
9.3,34,2,EC4022213900135D,555555559995A5A6AA9A9A9A6A5A69AAAA6A5A6665
9.4,34,2,EC40222149002377,555555559995A5A6AA9A9A9A6AA669AAAA9A5A5656
9.5,34,2,EC40222159003302,555555559995A5A6AA9A9A9A6A6669AAAA5A5AAA9A
9.6,34,2,EC4022216900439D,555555559995A5A6AA9A9A9A6A9669AAAAA65A6965
9.7,34,2,EC402221790053E8,555555559995A5A6AA9A9A9A6A5669AAAA665A95A9
9.8,34,2,EC402221890063A9,555555559995A5A6AA9A9A9A6AA969AAAA965A9969
9.9,34,2,EC402221990073DC,555555559995A5A6AA9A9A9A6A6969AAAA565A65A5
10.0,34,2,EC402221001062DC,555555559995A5A6AA9A9A9A6AAAAA6AAA969A65A5
10.1,34,2,EC40222110107275,555555559995A5A6AA9A9A9A6A6AAA6AAA569A5666
10.2,34,2,EC402221201082EA,555555559995A5A6AA9A9A9A6A9AAA6AAAA99A9599
10.3,34,2,EC4022213010929F,555555559995A5A6AA9A9A9A6A5AAA6AAA699A6955
10.4,34,2,EC4022214010A2B5,555555559995A5A6AA9A9A9A6AA6AA6AAA999A5966
10.5,34,2,EC4022215010B2C0,555555559995A5A6AA9A9A9A6A66AA6AAA599AA5AA
